Cameron Burgess,194cm,29년,€180만,450,0.00,0.80,0.00,0.01,40.00,80.0%,61.60,0.00,3.40,65.4%,0.00,0.00
Chiedozie Ogbene,175cm,27년,€830만,240,0.00,0.00,0.00,0.02,11.63,79.5%,29.63,0.75,6.00,51.6%,0.00,0.00
Axel Tuanzebe,183cm,27년,€250만,695,0.00,0.39,0.00,0.01,29.65,84.8%,51.67,0.00,3.88,63.8%,0.26,0.00
Ben Johnson,175cm,24년,€900만,401,0.00,0.22,0.22,0.05,20.65,76.7%,53.87,0.45,6.51,52.7%,0.22,0.00
Luke Woolfenden,183cm,26년,€150만,377,0.00,0.24,0.00,0.00,45.12,88.7%,63.02,0.00,1.67,43.8%,0.24,0.00
Leif Davis,183cm,24년,€1000만,"1,080",0.08,0.75,0.17,0.20,24.67,82.9%,53.17,0.33,4.08,52.7%,0.17,0.00
Harry Clarke,180cm,23년,€550만,96,0.00,0.00,0.00,0.03,34.69,86.0%,60.94,0.00,2.81,42.9%,0.00,0.94
Nathaniel Clyne,175cm,33년,€200만,296,0.00,0.30,0.00,0.01,26.15,72.9%,50.17,0.61,3.95,59.1%,0.00,0.00
Rob Holding,189cm,29년,€550만,562,0.00,0.00,0.00,0.00,42.00,89.4%,55.00,0.00,2.00,66.7%,1.00,0.00
Trevoh Chalobah,190cm,25년,€1500만,538,0.17,0.84,0.00,0.01,24.26,76.3%,49.85,0.17,5.69,64.2%,0.17,0.00
Marc Guehi,182cm,24년,€4000만,"1,080",0.17,0.50,0.00,0.02,44.92,85.7%,66.83,0.50,5.25,63.0%,0.08,0.00
Daniel Munoz,183cm,28년,€2000만,997,0.00,0.99,0.09,0.06,26.45,74.2%,63.10,0.63,7.31,52.6%,0.36,0.00
Maxence Lacroix,190cm,24년,€2300만,810,0.00,0.56,0.11,0.05,34.56,78.9%,58.33,0.22,5.11,57.5%,0.33,0.00
Chris Richards,188cm,24년,€1600만,346,0.00,0.26,0.00,0.00,33.55,83.2%,53.06,0.00,3.64,45.2%,0.26,0.00
Chadi Riad,187cm,21년,€1800만,90,0.00,0.00,0.00,0.02,70.00,85.4%,91.00,0.00,7.00,53.8%,0.00,0.00
Jack Stephens,185cm,30년,€250만,668,0.00,0.27,0.00,0.03,66.42,92.7%,80.97,0.13,2.16,38.1%,0.27,0.13
Charlie Taylor,176cm,31년,€350만,207,0.00,0.00,0.00,0.04,45.65,90.5%,82.61,0.00,6.52,75.0%,0.43,0.00
Ryan Manning,172cm,28년,€250만,333,0.00,0.27,0.00,0.16,23.78,88.0%,45.95,0.27,4.05,57.7%,0.27,0.00
Jan Bednarek,189cm,28년,€1400만,981,0.00,0.09,0.00,0.07,81.47,93.8%,97.89,0.00,2.39,50.0%,0.28,0.00
Kyle Walker-Peters,173cm,27년,€2300만,891,0.00,0.81,0.10,0.05,52.83,92.9%,78.69,1.62,4.95,47.6%,0.20,0.00
Yukinari Sugawara,179cm,24년,€1150만,682,0.13,0.79,0.13,0.19,41.96,85.5%,72.98,0.13,3.96,61.2%,0.26,0.00
Taylor Harwood-Bellis,188cm,22년,€2500만,951,0.09,0.85,0.00,0.02,69.56,89.3%,89.91,0.28,2.65,48.3%,0.38,0.00
