Mohammed Kudus,175cm,24년,€5300만,0.27,3.65,0.00,21.65,88.9%,50.08,5.41,3.38,7.17,43.8%,3.79,0.00,0.14
Crysencio Summerville,174cm,23년,€2300만,0.21,0.84,0.00,19.18,74.6%,45.32,3.16,2.11,5.06,44.4%,3.37,0.21,0.00
Dominic Calvert-Lewin,187cm,27년,€2400만,0.18,2.81,0.09,8.60,59.4%,31.06,5.98,1.63,6.79,44.6%,1.72,0.09,0.00
Jesper Lindstrøm,181cm,24년,€2500만,0.00,3.00,0.00,20.79,78.9%,54.43,3.64,2.57,4.71,38.6%,4.50,0.00,0.00
Iliman Ndiaye,180cm,24년,€1600만,0.20,1.50,0.00,21.65,82.8%,47.61,4.31,1.70,6.82,52.3%,7.32,0.10,0.00
Armando Broja,191cm,23년,€2500만,0.00,1.67,0.00,7.50,60.0%,32.50,1.67,2.50,9.17,52.4%,0.83,0.83,0.00
Youssef Chermiti,192cm,20년,€1000만,0.00,3.23,0.00,16.15,60.3%,55.85,8.77,2.77,11.54,34.7%,4.15,1.38,0.00
Jordan Ayew,182cm,33년,€420만,0.50,2.52,0.00,19.51,82.9%,47.61,4.21,1.68,9.08,51.4%,4.88,0.67,0.00
Bobby Reid,170cm,31년,€600만,0.00,1.57,0.00,22.50,74.1%,46.57,2.62,2.09,3.14,26.1%,4.71,0.00,0.00
Jamie Vardy,179cm,37년,€120만,0.39,1.17,0.10,7.48,66.4%,18.95,3.21,0.39,2.72,50.9%,0.39,0.29,0.00
Odsonne Edouard,187cm,26년,€2000만,0.00,3.17,0.00,14.58,65.7%,43.73,10.77,1.90,3.17,21.7%,3.80,0.00,0.00
Stephy Mavididi,180cm,26년,€930만,0.29,1.43,0.00,22.25,80.0%,52.77,3.42,2.85,5.85,38.0%,4.42,0.29,0.00
Kasey McAteer,179cm,23년,€95만,0.00,2.52,0.00,25.23,78.9%,61.40,3.36,0.84,8.41,47.6%,8.41,0.00,0.00
Abdul Fatawu,177cm,20년,€1300만,0.00,2.03,0.31,16.85,68.4%,59.58,4.37,1.87,13.10,54.5%,5.93,0.00,0.00
Facundo Buonanotte,174cm,19년,€2200만,0.37,2.46,0.25,25.66,80.4%,60.29,2.82,2.33,7.61,41.3%,5.03,0.61,0.00
Pablo Sarabia,176cm,32년,€1300만,0.50,2.00,0.00,27.00,69.2%,66.00,5.00,1.00,7.00,56.0%,3.00,0.50,0.00
Hee-Chan Hwang,177cm,28년,€2400만,0.00,0.00,0.00,16.59,82.5%,34.24,1.76,1.41,3.53,41.7%,3.53,0.00,0.00
Jørgen Strand Larsen,193cm,24년,€2700만,0.36,1.45,0.18,7.90,56.9%,24.16,3.09,0.64,3.63,34.8%,1.45,0.09,0.00
Sasa Kalajdzic,200cm,27년,€550만,1.13,2.26,0.00,21.51,64.4%,55.47,3.96,2.83,10.75,54.3%,2.26,0.57,0.00
Matheus Cunha,184cm,25년,€4400만,0.65,3.23,0.28,20.84,79.6%,50.90,5.72,1.94,5.53,46.2%,3.78,0.09,0.00
Carlos Forbs,169cm,20년,€850만,0.00,0.51,0.00,19.83,69.6%,46.27,5.59,1.53,6.61,56.5%,4.58,1.02,0.00
Enso Gonzalez,169cm,19년,€500만,0.00,4.09,0.00,40.91,83.3%,98.18,4.09,8.18,16.36,50.0%,12.27,4.09,0.00
Wes Burns,173cm,30년,€200만,0.00,0.55,0.18,14.63,75.5%,37.68,1.83,1.65,3.48,36.5%,5.12,0.18,0.00
George Hirst,191cm,25년,€350만,0.51,1.54,0.51,11.31,53.7%,38.57,5.14,3.60,7.71,42.9%,1.54,0.51,0.00
Jack Clarke,181cm,24년,€1700만,0.00,1.66,0.24,18.52,74.3%,44.64,4.04,0.95,7.84,57.9%,5.70,0.24,0.00
Omari Hutchinson,174cm,21년,€750만,0.09,1.58,0.09,22.69,82.2%,49.09,3.63,2.70,5.49,39.6%,3.07,0.37,0.00
Jean-Philippe Mateta,192cm,27년,€2200만,0.32,2.35,0.11,10.25,70.6%,26.16,3.31,0.64,3.20,35.3%,2.24,0.11,0.00
Ismaila Sarr,185cm,26년,€2000만,0.16,2.38,0.16,16.51,73.2%,42.86,5.87,2.06,4.13,36.6%,4.13,0.16,0.00
Edward Nketiah,175cm,25년,€3200만,0.00,3.11,0.00,15.91,75.0%,39.70,5.67,1.46,6.22,49.3%,2.01,0.18,0.00
Matheus Franca,182cm,20년,€1800만,0.00,3.20,0.40,19.20,73.8%,52.40,4.00,2.80,4.00,23.3%,6.80,0.40,0.00
Ryan Fraser,163cm,30년,€350만,0.00,0.41,0.00,18.99,82.1%,39.22,0.41,0.83,4.95,60.0%,3.30,0.00,0.41
Paul Onuachu,202cm,30년,€1600만,0.00,2.43,0.00,15.41,61.3%,51.08,4.86,4.05,14.59,54.5%,3.24,0.81,0.00
Adam Armstrong,172cm,27년,€2000만,0.34,2.54,0.17,19.62,85.3%,36.71,4.91,1.52,1.52,22.0%,1.52,0.51,0.00
Ross Stewart,188cm,28년,€500만,0.00,1.37,0.00,24.73,80.0%,49.47,1.37,3.44,6.87,34.5%,1.37,0.69,0.00
Ben Brereton Diaz,186cm,25년,€800만,0.00,2.43,0.00,25.81,80.1%,43.24,4.41,0.88,3.75,42.5%,2.65,0.22,0.00
Cameron Archer,181cm,22년,€1500만,0.30,2.21,0.00,10.62,83.7%,25.08,4.13,1.48,3.10,38.2%,2.36,0.00,0.00
